accession_1	lysine_ct	accession_2	delta_mass	modification	
9975.17_Da_E1344 P49166_2full88_1G_P6_1T Ox; Deamidation; Missing Alanine (A)	11	P49166_2full88_1G_P6_1T Ox; Deamidation	-71.00	-71.00 Missing Alanine (A)
10046.2_Da_E416 P49166_2full88_1G_P6_1T Ox; Deamidation	11	P49166_2full88_1G_P6_1T Ox; Deamidation	0.02	0.02
10046.21_Da_E111 P49166_2full88_1G_P6_1T Ox; Deamidation	11	P49166_2full88_1G_P6_1T Ox; Deamidation	0.02	0.02
10062.2_Da_E154 P49166_2full88_1G_P6_1T Ox; Deamidation; Ox	11	P49166_2full88_1G_P6_1T Ox; Deamidation	16.02	16.02 Ox
10062.2_Da_E1300 P49166_2full88_1G_P6_1T Ox; Deamidation; Ox	11	P49166_2full88_1G_P6_1T Ox; Deamidation	16.02	16.02 Ox
10078.19_Da_E657 P49166_2full88_1G_P6_1T Ox; Deamidation; Ox; Ox	11	10062.2_Da_E154 P49166_2full88_1G_P6_1T Ox; Deamidation; Ox	16.00	16.00 Ox
10062.2_Da_E154 P49166_2full88_1G_P6_1T Ox; Deamidation; Ox	11	9991.18_Da_E2131 P49166_2full88_1G_P6_1T Ox; Deamidation; Ox; Missing Alanine (A)	71.03	71.03 Missing Alanine (A)
10062.2_Da_E154 P49166_2full88_1G_P6_1T Ox; Deamidation; Ox	11	10004.16_Da_E1768	58.04	58.04
10062.2_Da_E154 P49166_2full88_1G_P6_1T Ox; Deamidation; Ox	11	10036.18_Da_E1977	26.02	26.02
10384.18_Da_E1214	11	10286.1_Da_E842	98.07	98.07
10286.1_Da_E842	11	10268.08_Da_E368	18.01	18.01
10078.19_Da_E657 P49166_2full88_1G_P6_1T Ox; Deamidation; Ox; Ox	11	10036.18_Da_E1977	42.01	42.01
10095.19_Da_E980 P51402_2full88_1G_P2_1T Ox; Ox; Ox	11	10078.19_Da_E657 P49166_2full88_1G_P6_1T Ox; Deamidation; Ox; Ox	17.00	17.00 Ammonia loss
10176.19_Da_E1789 P49166_2full88_1G_P4_1T Ox; Retained Met	11	10078.19_Da_E657 P49166_2full88_1G_P6_1T Ox; Deamidation; Ox; Ox	97.99	97.99 Sulfate Adduct
10036.18_Da_E1977	11	10004.16_Da_E1768	32.02	32.02
10143.22_Da_E352 P49166_2full88_1G_P5_1T Ammonia loss; Retained Met	11	P49166_2full88_1G_P5_1T Ammonia loss	131.03	131.03 Retained Met
9998.15_Da_E1292 P49166_2full88_1G_P12_1T Ox; Ammonia loss; Pyrrolidinone	11	P49166_2full88_1G_P12_1T Ox; Ammonia loss	-30.03	-30.03 Pyrrolidinone
10016.16_Da_E2121 P49166_2full88_1G_P12_1T Ox; Ammonia loss; Pyrrolidinone; Water Adduct	11	9998.15_Da_E1292 P49166_2full88_1G_P12_1T Ox; Ammonia loss; Pyrrolidinone	18.01	18.01 Water Adduct
10025.17_Da_E1823 P49166_2full88_1G_P12_1T Ox; Ammonia loss; Pyrrolidinone; Acetone Artifact; Missing Alanine (A)	11	9998.15_Da_E1292 P49166_2full88_1G_P12_1T Ox; Ammonia loss; Pyrrolidinone	27.01	27.01 Acetone Artifact; Missing Alanine (A)
10144.28_Da_E543 P49166_2full88_1G_P6_1T Ox; Deamidation; Acetone Artifact	11	10046.21_Da_E111 P49166_2full88_1G_P6_1T Ox; Deamidation	98.07	98.07 Acetone Artifact
10046.21_Da_E111 P49166_2full88_1G_P6_1T Ox; Deamidation	11	9975.17_Da_E1344 P49166_2full88_1G_P6_1T Ox; Deamidation; Missing Alanine (A)	71.03	71.03 Missing Alanine (A)
10078.2_Da_E928 P51402_2full88_1G_P4_1T Ox; Deamidation; Methyl	11	10046.21_Da_E111 P49166_2full88_1G_P6_1T Ox; Deamidation	31.99	31.99 Ox; Ox
10160.27_Da_E1651 P49166_2full88_1G_P6_1T Ox; Deamidation; Acetone Artifact; Ox	11	10046.21_Da_E111 P49166_2full88_1G_P6_1T Ox; Deamidation	114.06	114.06 Acetone Artifact; Ox
10063.21_Da_E276 P51402_2full88_1G_P2_1T Ox	11	10046.21_Da_E111 P49166_2full88_1G_P6_1T Ox; Deamidation	17.00	17.00 Deamidation; Ox
10223.13_Da_E1833 P49166_2full88_1G_P1_1T Sulfate Adduct; Ox; Phospho	11	10143.16_Da_E525 P49166_2full88_1G_P1_1T Sulfate Adduct; Ox	79.97	79.97 Phospho
10143.16_Da_E525 P49166_2full88_1G_P1_1T Sulfate Adduct; Ox	11	10125.15_Da_E1491 P49166_2full88_1G_P1_1T Phospho; Ox	18.01	18.01 Water loss
10161.17_Da_E1402 P51402_2full88_1G_P2_1T Ox; Sulfate Adduct	11	10143.16_Da_E525 P49166_2full88_1G_P1_1T Sulfate Adduct; Ox	18.01	18.01 Water loss
10059.19_Da_E2174 P49166_2full88_1G_P4_1T Ox; Methyl	11	P49166_2full88_1G_P4_1T Ox	14.01	14.01 Methyl
10059.19_Da_E2174 P49166_2full88_1G_P4_1T Ox; Methyl	11	10002.16_Da_E1868 P49166_2full88_1G_P4_1T Ox; Methyl; Missing Glycine (G)	57.03	57.03 Missing Glycine (G)
10059.19_Da_E2174 P49166_2full88_1G_P4_1T Ox; Methyl	11	10042.19_Da_E1171 P49166_2full88_1G_P10_1T Ox; Ammonia loss; Methyl	17.00	17.00 Ammonia loss
10059.19_Da_E2174 P49166_2full88_1G_P4_1T Ox; Methyl	11	10019.16_Da_E2141 P49166_2full88_1G_P4_1T Ox; Methyl; Missing Glycine (G); Deamidation; Ox	40.03	40.03
10059.19_Da_E2174 P49166_2full88_1G_P4_1T Ox; Methyl	11	9975.17_Da_E1344 P49166_2full88_1G_P6_1T Ox; Deamidation; Missing Alanine (A)	84.02	84.02 Acetyl; Acetyl
10223.13_Da_E1833 P49166_2full88_1G_P1_1T Sulfate Adduct; Ox; Phospho	11	10125.15_Da_E1491 P49166_2full88_1G_P1_1T Phospho; Ox	97.97	97.97 Sulfate Adduct
9990.17_Da_E1921 P49166_2full88_1G_P6_1T Ox; Deamidation; Missing Alanine (A); Deamidation; Methyl	11	9975.17_Da_E1344 P49166_2full88_1G_P6_1T Ox; Deamidation; Missing Alanine (A)	14.99	14.99 Deamidation; Methyl
10042.19_Da_E1171 P49166_2full88_1G_P10_1T Ox; Ammonia loss; Methyl	11	P49166_2full88_1G_P10_1T Ox; Ammonia loss	14.01	14.01 Methyl
10042.19_Da_E1171 P49166_2full88_1G_P10_1T Ox; Ammonia loss; Methyl	11	10002.16_Da_E1868 P49166_2full88_1G_P4_1T Ox; Methyl; Missing Glycine (G)	40.03	40.03
10176.19_Da_E1789 P49166_2full88_1G_P4_1T Ox; Retained Met	11	P49166_2full88_1G_P4_1T Ox	131.00	131.00 Retained Met
10256.17_Da_E1117 P49166_2full88_1G_P1_1T Retained Met; Phospho; Ox	11	10176.19_Da_E1789 P49166_2full88_1G_P4_1T Ox; Retained Met	79.97	79.97 Phospho
10273.18_Da_E1246 P49166_2full88_1G_P1_1T Retained Met; Phospho; Ox; Deamidation; Ox	11	10256.17_Da_E1117 P49166_2full88_1G_P1_1T Retained Met; Phospho; Ox	17.00	17.00 Deamidation; Ox
10062.2_Da_E1300 P49166_2full88_1G_P6_1T Ox; Deamidation; Ox	11	10046.2_Da_E416 P49166_2full88_1G_P6_1T Ox; Deamidation	16.00	16.00 Ox
10046.2_Da_E416 P49166_2full88_1G_P6_1T Ox; Deamidation	11	10028.19_Da_E1637 P49166_2full88_1G_P10_1T Ox; Ammonia loss	18.01	18.01 Water loss
10008.19_Da_E1998 P49166_2full88_1G_P6_1T Ox; Deamidation; Ox; Missing Alanine (A); Deamidation; Ox	11	9991.18_Da_E2131 P49166_2full88_1G_P6_1T Ox; Deamidation; Ox; Missing Alanine (A)	17.00	17.00 Deamidation; Ox
10095.19_Da_E980 P51402_2full88_1G_P2_1T Ox; Ox; Ox	11	P51402_2full88_1G_P2_1T Ox	31.98	31.98 Ox; Ox
10127.21_Da_E238 P51402_2full88_1G_P1_1T Phospho	11	10095.19_Da_E980 P51402_2full88_1G_P2_1T Ox; Ox; Ox	32.02	32.02 Ox; Ox
10143.22_Da_E352 P49166_2full88_1G_P5_1T Ammonia loss; Retained Met	11	10127.21_Da_E238 P51402_2full88_1G_P1_1T Phospho	16.00	16.00 Ox
10241.2_Da_E746 P49166_2full88_1G_P5_1T Ammonia loss; Retained Met; Sulfate Adduct	11	10143.22_Da_E352 P49166_2full88_1G_P5_1T Ammonia loss; Retained Met	97.99	97.99 Sulfate Adduct
10016.16_Da_E2121 P49166_2full88_1G_P12_1T Ox; Ammonia loss; Pyrrolidinone; Water Adduct	11	9929.14_Da_E929	87.03	87.03
10107.25_Da_E1647 P49166_2full88_1G_P6_1T Ox; Deamidation; Ox; Missing Alanine (A); Deamidation; Ox; Acetone Artifact; Deamidation	11	10025.17_Da_E1823 P49166_2full88_1G_P12_1T Ox; Ammonia loss; Pyrrolidinone; Acetone Artifact; Missing Alanine (A)	82.07	82.07
10025.17_Da_E1823 P49166_2full88_1G_P12_1T Ox; Ammonia loss; Pyrrolidinone; Acetone Artifact; Missing Alanine (A)	11	10008.19_Da_E1998 P49166_2full88_1G_P6_1T Ox; Deamidation; Ox; Missing Alanine (A); Deamidation; Ox	17.00	17.00 Ammonia loss
10160.27_Da_E1651 P49166_2full88_1G_P6_1T Ox; Deamidation; Acetone Artifact; Ox	11	10144.28_Da_E543 P49166_2full88_1G_P6_1T Ox; Deamidation; Acetone Artifact	16.00	16.00 Ox
10078.2_Da_E928 P51402_2full88_1G_P4_1T Ox; Deamidation; Methyl	11	P51402_2full88_1G_P4_1T Ox; Deamidation	14.01	14.01 Methyl
10160.27_Da_E1651 P49166_2full88_1G_P6_1T Ox; Deamidation; Acetone Artifact; Ox	11	10078.2_Da_E928 P51402_2full88_1G_P4_1T Ox; Deamidation; Methyl	82.07	82.07
10110.2_Da_E2017 P51402_2full88_1G_P4_1T Ox; Deamidation; Methyl; Ox; Ox	11	10078.2_Da_E928 P51402_2full88_1G_P4_1T Ox; Deamidation; Methyl	31.99	31.99 Ox; Ox
10078.2_Da_E928 P51402_2full88_1G_P4_1T Ox; Deamidation; Methyl	11	10063.21_Da_E276 P51402_2full88_1G_P2_1T Ox	14.99	14.99 Deamidation; Methyl
10176.17_Da_E1582 P51402_2full88_1G_P2_1T Ox; Sulfate Adduct; Deamidation; Methyl	11	10078.2_Da_E928 P51402_2full88_1G_P4_1T Ox; Deamidation; Methyl	97.97	97.97 Sulfate Adduct
10078.2_Da_E928 P51402_2full88_1G_P4_1T Ox; Deamidation; Methyl	11	10036.15_Da_E2226 P51402_2full88_1G_P4_1T Ox; Deamidation	42.05	42.05 Methyl; Methyl; Methyl
10096.2_Da_E1048 P51402_2full88_1G_P4_1T Ox; Deamidation; Methyl; Water Adduct	11	10078.2_Da_E928 P51402_2full88_1G_P4_1T Ox; Deamidation; Methyl	18.01	18.01 Water Adduct
10063.21_Da_E276 P51402_2full88_1G_P2_1T Ox	11	P51402_2full88_1G_P2_1T Ox	0.00	0.00
10161.17_Da_E1402 P51402_2full88_1G_P2_1T Ox; Sulfate Adduct	11	10063.21_Da_E276 P51402_2full88_1G_P2_1T Ox	97.97	97.97 Sulfate Adduct
10391.21_Da_E534	11	10223.13_Da_E1833 P49166_2full88_1G_P1_1T Sulfate Adduct; Ox; Phospho	168.08	168.08
10161.17_Da_E1402 P51402_2full88_1G_P2_1T Ox; Sulfate Adduct	11	P51402_2full88_1G_P2_1T Ox	97.96	97.96 Sulfate Adduct
10176.17_Da_E1582 P51402_2full88_1G_P2_1T Ox; Sulfate Adduct; Deamidation; Methyl	11	10161.17_Da_E1402 P51402_2full88_1G_P2_1T Ox; Sulfate Adduct	14.99	14.99 Deamidation; Methyl
10259.13_Da_E1948 P51402_2full88_1G_P2_1T Ox; Sulfate Adduct; Sulfate Adduct	11	10161.17_Da_E1402 P51402_2full88_1G_P2_1T Ox; Sulfate Adduct	97.97	97.97 Sulfate Adduct
10019.16_Da_E2141 P49166_2full88_1G_P4_1T Ox; Methyl; Missing Glycine (G); Deamidation; Ox	11	10002.16_Da_E1868 P49166_2full88_1G_P4_1T Ox; Methyl; Missing Glycine (G)	17.00	17.00 Deamidation; Ox
9957.17_Da_E836 P49166_2full88_1G_P10_1T Ox; Ammonia loss; Missing Alanine (A)	11	P49166_2full88_1G_P10_1T Ox; Ammonia loss	-71.00	-71.00 Missing Alanine (A)
10028.19_Da_E1637 P49166_2full88_1G_P10_1T Ox; Ammonia loss	11	P49166_2full88_1G_P10_1T Ox; Ammonia loss	0.02	0.02
10107.25_Da_E1647 P49166_2full88_1G_P6_1T Ox; Deamidation; Ox; Missing Alanine (A); Deamidation; Ox; Acetone Artifact; Deamidation	11	10008.19_Da_E1998 P49166_2full88_1G_P6_1T Ox; Deamidation; Ox; Missing Alanine (A); Deamidation; Ox	99.07	99.07 Acetone Artifact; Deamidation
10127.21_Da_E238 P51402_2full88_1G_P1_1T Phospho	11	P51402_2full88_1G_P1_1T Unmodified	79.99	79.99 Phospho
10127.21_Da_E238 P51402_2full88_1G_P1_1T Phospho	11	10085.22_Da_E1485	42.01	42.01
10241.2_Da_E746 P49166_2full88_1G_P5_1T Ammonia loss; Retained Met; Sulfate Adduct	11	10127.21_Da_E238 P51402_2full88_1G_P1_1T Phospho	113.98	113.98 Sulfate Adduct; Ox
10241.2_Da_E746 P49166_2full88_1G_P5_1T Ammonia loss; Retained Met; Sulfate Adduct	11	10211.21_Da_E1594 P49166_2full88_1G_P5_1T Ammonia loss; Retained Met; Sulfate Adduct; Pyrrolidinone	30.01	30.01 Pyrrolidinone
9929.14_Da_E929	11	9913.14_Da_E1233	16.00	16.00
10176.17_Da_E1582 P51402_2full88_1G_P2_1T Ox; Sulfate Adduct; Deamidation; Methyl	11	10096.2_Da_E1048 P51402_2full88_1G_P4_1T Ox; Deamidation; Methyl; Water Adduct	79.97	79.97 Phospho
10391.21_Da_E534	11	10373.19_Da_E1805	18.01	18.01
10259.13_Da_E1948 P51402_2full88_1G_P2_1T Ox; Sulfate Adduct; Sulfate Adduct	11	10242.12_Da_E1090 P51402_2full88_1G_P2_1T Ox; Sulfate Adduct; Sulfate Adduct; Ammonia loss	17.00	17.00 Ammonia loss
10924.81_Da_E1585 P81449_2full96_1G_P3_1T Acetyl	11	P81449_2full96_1G_P3_1T Acetyl	0.00	0.00
13978.85_Da_E15 P04912_2full132_1G_P3_2T Acetyl; Missed Monoisotopic (-1)	11	P04912_2full132_1G_P3_2T Acetyl	-1.00	-1.00 Missed Monoisotopic (-1)
14218.75_Da_E758 P04912_2full132_1G_P3_2T Acetyl; Missed Monoisotopic (-1); Phospho; Phospho; Phospho	11	13978.85_Da_E15 P04912_2full132_1G_P3_2T Acetyl; Missed Monoisotopic (-1)	239.90	239.90 Phospho; Phospho; Phospho
14062.87_Da_E278 P04912_2full132_1G_P3_2T Acetyl; Missed Monoisotopic (-1); Acetyl; Acetyl	11	13978.85_Da_E15 P04912_2full132_1G_P3_2T Acetyl; Missed Monoisotopic (-1)	84.02	84.02 Acetyl; Acetyl
14062.87_Da_E278 P04912_2full132_1G_P3_2T Acetyl; Missed Monoisotopic (-1); Acetyl; Acetyl	11	14004.82_Da_E1010	58.04	58.04
14004.82_Da_E1010	11	13920.77_Da_E621	84.05	84.05
13920.83_Da_E138 P04912_2full132_1G_P1_2T Ammonia loss	11	P04912_2full132_1G_P1_2T Unmodified	-17.00	-17.00 Ammonia loss
14003.3_Da_E20 P0CX85_2full120_2G_P1_1T Unmodified	22	P0CX85_2full120_2G_P1_1T Unmodified	0.00	0.00
14003.3_Da_E20 P0CX85_2full120_2G_P1_1T Unmodified	22	13932.26_Da_E222 P0CX85_2full120_2G_P1_1T Missing Alanine (A)	71.03	71.03 Missing Alanine (A)
14101.28_Da_E69 P0CX85_2full120_2G_P2_1T Phospho; Water Adduct	22	14003.3_Da_E20 P0CX85_2full120_2G_P1_1T Unmodified	97.97	97.97 Sulfate Adduct
14043.33_Da_E216	22	14003.3_Da_E20 P0CX85_2full120_2G_P1_1T Unmodified	40.03	40.03
13932.26_Da_E222 P0CX85_2full120_2G_P1_1T Missing Alanine (A)	22	P0CX85_2full120_2G_P1_1T Unmodified	-71.04	-71.04 Missing Alanine (A)
14003.29_Da_E1698 P0CX85_2full120_2G_P1_1T Unmodified	22	P0CX85_2full120_2G_P1_1T Unmodified	0.00	0.00
14101.28_Da_E69 P0CX85_2full120_2G_P2_1T Phospho; Water Adduct	22	P0CX85_2full120_2G_P2_1T Phospho	18.02	18.02 Water Adduct
7071.16_Da_E4 P0CX34_2full63_2G_P1_1T Unmodified	11	P0CX34_2full63_2G_P1_1T Unmodified	0.00	0.00
7087.16_Da_E23 P0CX34_2full63_2G_P2_1T Ox	11	7071.16_Da_E4 P0CX34_2full63_2G_P1_1T Unmodified	16.00	16.00 Ox
7128.19_Da_E1383 P0CX34_2full63_2G_P1_1T Carbamidomethyl	11	7071.16_Da_E4 P0CX34_2full63_2G_P1_1T Unmodified	57.03	57.03 Carbamidomethyl
7185.22_Da_E544 P0CX34_2full63_2G_P2_1T Ox; Acetone Artifact	11	7071.16_Da_E4 P0CX34_2full63_2G_P1_1T Unmodified	114.06	114.06 Acetone Artifact; Ox
7071.16_Da_E4 P0CX34_2full63_2G_P1_1T Unmodified	11	7023.16_Da_E1640	47.99	47.99
7185.13_Da_E298 P0CX34_2full63_2G_P2_1T Ox; Sulfate Adduct	11	7071.16_Da_E4 P0CX34_2full63_2G_P1_1T Unmodified	113.98	113.98 Sulfate Adduct; Ox
7071.16_Da_E4 P0CX34_2full63_2G_P1_1T Unmodified	11	7054.14_Da_E404 P0CX34_2full63_2G_P1_1T Ammonia loss	17.03	17.03 Ammonia loss
7102.14_Da_E348 P0CX34_2full63_2G_P1_1T Ammonia loss; Ox; Ox; Ox	11	7071.16_Da_E4 P0CX34_2full63_2G_P1_1T Unmodified	30.98	30.98
7168.23_Da_E340 P0CX34_2full63_2G_P2_1T Ox; Acetone Artifact; Ammonia loss	11	7071.16_Da_E4 P0CX34_2full63_2G_P1_1T Unmodified	97.07	97.07
7337.32_Da_E2068 P0CX34_2full63_2G_P1_1T Hydrogen Dodecyl Sulfate	11	P0CX34_2full63_2G_P1_1T Unmodified	266.16	266.16 Hydrogen Dodecyl Sulfate
7169.24_Da_E2026 P0CX34_2full63_2G_P1_1T Acetone Artifact	11	P0CX34_2full63_2G_P1_1T Unmodified	98.07	98.07 Acetone Artifact
7128.19_Da_E1383 P0CX34_2full63_2G_P1_1T Carbamidomethyl	11	P0CX34_2full63_2G_P1_1T Unmodified	57.02	57.02 Carbamidomethyl
7054.14_Da_E404 P0CX34_2full63_2G_P1_1T Ammonia loss	11	P0CX34_2full63_2G_P1_1T Unmodified	-17.03	-17.03 Ammonia loss
7087.16_Da_E23 P0CX34_2full63_2G_P2_1T Ox	11	P0CX34_2full63_2G_P2_1T Ox	0.00	0.00
7185.22_Da_E544 P0CX34_2full63_2G_P2_1T Ox; Acetone Artifact	11	7087.16_Da_E23 P0CX34_2full63_2G_P2_1T Ox	98.07	98.07 Acetone Artifact
7102.14_Da_E348 P0CX34_2full63_2G_P1_1T Ammonia loss; Ox; Ox; Ox	11	7087.16_Da_E23 P0CX34_2full63_2G_P2_1T Ox	14.99	14.99 Missed Monoisotopic (-1); Ox
7185.13_Da_E298 P0CX34_2full63_2G_P2_1T Ox; Sulfate Adduct	11	7087.16_Da_E23 P0CX34_2full63_2G_P2_1T Ox	97.97	97.97 Sulfate Adduct
7201.15_Da_E1102 P0CX34_2full63_2G_P2_1T Ox; Sulfate Adduct; Ox	11	7087.16_Da_E23 P0CX34_2full63_2G_P2_1T Ox	113.98	113.98 Sulfate Adduct; Ox
7118.14_Da_E455 P0CX34_2full63_2G_P1_1T Ammonia loss; Ox; Ox; Ox; Ox	11	7087.16_Da_E23 P0CX34_2full63_2G_P2_1T Ox	30.98	30.98
7185.22_Da_E544 P0CX34_2full63_2G_P2_1T Ox; Acetone Artifact	11	7128.19_Da_E1383 P0CX34_2full63_2G_P1_1T Carbamidomethyl	57.03	57.03 Carbamidomethyl
7168.23_Da_E340 P0CX34_2full63_2G_P2_1T Ox; Acetone Artifact; Ammonia loss	11	7128.19_Da_E1383 P0CX34_2full63_2G_P1_1T Carbamidomethyl	40.03	40.03
7154.21_Da_E673 P0CX34_2full63_2G_P2_1T Ox; Acetone Artifact; Ammonia loss; Carbamidomethyl; Missing Alanine (A)	11	7128.19_Da_E1383 P0CX34_2full63_2G_P1_1T Carbamidomethyl	26.02	26.02
7185.22_Da_E544 P0CX34_2full63_2G_P2_1T Ox; Acetone Artifact	11	P0CX34_2full63_2G_P2_1T Ox	98.07	98.07 Acetone Artifact
7185.22_Da_E544 P0CX34_2full63_2G_P2_1T Ox; Acetone Artifact	11	7168.23_Da_E340 P0CX34_2full63_2G_P2_1T Ox; Acetone Artifact; Ammonia loss	17.00	17.00 Ammonia loss
7023.16_Da_E1640	11	6925.1_Da_E285	98.07	98.07
7054.14_Da_E404 P0CX34_2full63_2G_P1_1T Ammonia loss	11	7023.16_Da_E1640	30.98	30.98
7185.13_Da_E298 P0CX34_2full63_2G_P2_1T Ox; Sulfate Adduct	11	P0CX34_2full63_2G_P2_1T Ox	97.96	97.96 Sulfate Adduct
7185.13_Da_E298 P0CX34_2full63_2G_P2_1T Ox; Sulfate Adduct	11	7168.12_Da_E185 P0CX34_2full63_2G_P4_1T Phospho; Ox; Deamidation	17.00	17.00 Ammonia loss
7102.14_Da_E348 P0CX34_2full63_2G_P1_1T Ammonia loss; Ox; Ox; Ox	11	7054.14_Da_E404 P0CX34_2full63_2G_P1_1T Ammonia loss	47.99	47.99 Ox; Ox; Ox
7168.12_Da_E185 P0CX34_2full63_2G_P4_1T Phospho; Ox; Deamidation	11	7054.14_Da_E404 P0CX34_2full63_2G_P1_1T Ammonia loss	113.98	113.98 Sulfate Adduct; Ox
7154.21_Da_E673 P0CX34_2full63_2G_P2_1T Ox; Acetone Artifact; Ammonia loss; Carbamidomethyl; Missing Alanine (A)	11	7054.14_Da_E404 P0CX34_2full63_2G_P1_1T Ammonia loss	100.08	100.08
7118.14_Da_E455 P0CX34_2full63_2G_P1_1T Ammonia loss; Ox; Ox; Ox; Ox	11	7102.14_Da_E348 P0CX34_2full63_2G_P1_1T Ammonia loss; Ox; Ox; Ox	16.00	16.00 Ox
7168.23_Da_E340 P0CX34_2full63_2G_P2_1T Ox; Acetone Artifact; Ammonia loss	11	7154.21_Da_E673 P0CX34_2full63_2G_P2_1T Ox; Acetone Artifact; Ammonia loss; Carbamidomethyl; Missing Alanine (A)	14.02	14.02 Carbamidomethyl; Missing Alanine (A)
7337.32_Da_E2068 P0CX34_2full63_2G_P1_1T Hydrogen Dodecyl Sulfate	11	7169.24_Da_E2026 P0CX34_2full63_2G_P1_1T Acetone Artifact	168.08	168.08
7352.31_Da_E1781 P0CX34_2full63_2G_P1_1T Hydrogen Dodecyl Sulfate; Missed Monoisotopic (-1); Ox	11	7337.32_Da_E2068 P0CX34_2full63_2G_P1_1T Hydrogen Dodecyl Sulfate	14.99	14.99 Missed Monoisotopic (-1); Ox
7169.24_Da_E2026 P0CX34_2full63_2G_P1_1T Acetone Artifact	11	7070.16_Da_E725 P0CX34_2full63_2G_P2_1T Ox; Ammonia loss	99.07	99.07 Acetone Artifact; Deamidation
7070.16_Da_E1800 P0CX34_2full63_2G_P2_1T Ox; Ammonia loss	11	P0CX34_2full63_2G_P2_1T Ox	-17.00	-17.00 Ammonia loss
7070.16_Da_E725 P0CX34_2full63_2G_P2_1T Ox; Ammonia loss	11	P0CX34_2full63_2G_P2_1T Ox	-17.00	-17.00 Ammonia loss
7086.15_Da_E1519 P0CX34_2full63_2G_P2_1T Ox; Missed Monoisotopic (-1)	11	P0CX34_2full63_2G_P2_1T Ox	-1.00	-1.00 Missed Monoisotopic (-1)
6925.1_Da_E285	11	6826.03_Da_E741	99.07	99.07
6943.11_Da_E323	11	6925.1_Da_E285	18.01	18.01
7168.12_Da_E185 P0CX34_2full63_2G_P4_1T Phospho; Ox; Deamidation	11	P0CX34_2full63_2G_P4_1T Phospho; Ox	0.98	0.98 Deamidation
7352.31_Da_E1781 P0CX34_2full63_2G_P1_1T Hydrogen Dodecyl Sulfate; Missed Monoisotopic (-1); Ox	11	7086.15_Da_E1519 P0CX34_2full63_2G_P2_1T Ox; Missed Monoisotopic (-1)	266.15	266.15 Hydrogen Dodecyl Sulfate
7352.31_Da_E1781 P0CX34_2full63_2G_P1_1T Hydrogen Dodecyl Sulfate; Missed Monoisotopic (-1); Ox	11	7070.16_Da_E725 P0CX34_2full63_2G_P2_1T Ox; Ammonia loss	282.15	282.15 Hydrogen Dodecyl Sulfate; Ox
7086.15_Da_E1519 P0CX34_2full63_2G_P2_1T Ox; Missed Monoisotopic (-1)	11	7070.16_Da_E725 P0CX34_2full63_2G_P2_1T Ox; Ammonia loss	16.00	16.00 Ox
6842.03_Da_E626	11	6826.03_Da_E741	16.00	16.00
6959.1_Da_E596	11	6943.11_Da_E323	16.00	16.00
7185.16_Da_E1950 P0CX34_2full63_2G_P4_1T Phospho; Ox; Water Adduct	11	P0CX34_2full63_2G_P4_1T Phospho; Ox	18.02	18.02 Water Adduct
6859.03_Da_E1394	11	6842.03_Da_E626	17.00	17.00
6959.1_Da_E596	11	6859.03_Da_E1394	100.08	100.08
12087.65_Da_E3 P05744_2full107_1G_P1_1T Unmodified	9	P05744_2full107_1G_P1_1T Unmodified	0.00	0.00
12087.65_Da_E3 P05744_2full107_1G_P1_1T Unmodified	9	11974.57_Da_E119 P05744_2full107_1G_P1_1T Missing Isoleucine (I)	113.09	113.09 Missing Isoleucine (I)
12101.66_Da_E24 P41056_2full107_1G_P1_1T Unmodified	9	12087.65_Da_E3 P05744_2full107_1G_P1_1T Unmodified	14.02	14.02 Methyl
12117.66_Da_E249 P41056_2full107_1G_P2_1T Ox	9	12087.65_Da_E3 P05744_2full107_1G_P1_1T Unmodified	30.01	30.01 Methyl; Ox
12087.65_Da_E3 P05744_2full107_1G_P1_1T Unmodified	9	11987.57_Da_E456	100.08	100.08
11974.57_Da_E119 P05744_2full107_1G_P1_1T Missing Isoleucine (I)	9	P05744_2full107_1G_P1_1T Unmodified	-113.08	-113.08 Missing Isoleucine (I)
12087.65_Da_E1007 P05744_2full107_1G_P1_1T Unmodified	9	P05744_2full107_1G_P1_1T Unmodified	0.00	0.00
12101.66_Da_E24 P41056_2full107_1G_P1_1T Unmodified	9	P41056_2full107_1G_P1_1T Unmodified	0.00	0.00
12117.66_Da_E249 P41056_2full107_1G_P2_1T Ox	9	12101.66_Da_E24 P41056_2full107_1G_P1_1T Unmodified	16.00	16.00 Ox
12185.69_Da_E147 P05744_2full107_1G_P7_1T Acetyl; Methyl; Acetyl	9	12101.66_Da_E24 P41056_2full107_1G_P1_1T Unmodified	84.02	84.02 Acetyl; Acetyl
12117.66_Da_E249 P41056_2full107_1G_P2_1T Ox	9	P41056_2full107_1G_P2_1T Ox	0.00	0.00
12185.69_Da_E147 P05744_2full107_1G_P7_1T Acetyl; Methyl; Acetyl	9	P05744_2full107_1G_P7_1T Acetyl; Methyl	42.00	42.00 Acetyl
6376.54_Da_E19 P0CH09_77frag128_2G_P1_1T Unmodified	10	P0CH09_77frag128_2G_P1_1T Unmodified	0.00	0.00
6474.6_Da_E355 P0CH09_77frag128_2G_P1_1T Acetone Artifact	10	6376.54_Da_E19 P0CH09_77frag128_2G_P1_1T Unmodified	98.07	98.07 Acetone Artifact
